,Location,IP
0,Amsterdam,amsterdam.perfect-privacy.com
1,Basel,basel.perfect-privacy.com
2,Berlin,berlin.perfect-privacy.com
3,Bucharest,bucharest.perfect-privacy.com
4,Cairo,cairo.perfect-privacy.com
5,Calais,calais.perfect-privacy.com
6,Chicago,chicago.perfect-privacy.com
7,Copenhagen,copenhagen.perfect-privacy.com
8,Dallas,dallas.perfect-privacy.com
9,Erfurt,erfurt.perfect-privacy.com
10,Frankfurt,frankfurt.perfect-privacy.com
11,Hamburg,hamburg.perfect-privacy.com
12,Hongkong,hongkong.perfect-privacy.com
13,Istanbul,istanbul.perfect-privacy.com
14,London,london.perfect-privacy.com
15,LosAngeles,losangeles.perfect-privacy.com
16,Malmoe,malmoe.perfect-privacy.com
17,Melbourne,melbourne.perfect-privacy.com
18,Miami,miami.perfect-privacy.com
19,Montreal,montreal.perfect-privacy.com
20,Moscow,moscow.perfect-privacy.com
21,NewYork,newyork.perfect-privacy.com
22,Nottingham,nottingham.perfect-privacy.com
23,Nuremberg,nuremberg.perfect-privacy.com
24,Oslo,oslo.perfect-privacy.com
25,Paris,paris.perfect-privacy.com
26,Prague,prague.perfect-privacy.com
27,Reykjavik,reykjavik.perfect-privacy.com
28,Riga,riga.perfect-privacy.com
29,Rotterdam,rotterdam.perfect-privacy.com
30,Singapore,singapore.perfect-privacy.com
31,Steinsel,steinsel.perfect-privacy.com
32,Stockholm,stockholm.perfect-privacy.com
33,Strasbourg,strasbourg.perfect-privacy.com
34,TelAviv,telaviv.perfect-privacy.com
35,Tokyo,tokyo.perfect-privacy.com
36,Zurich,zurich.perfect-privacy.com
